               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,             0.03033,            0.054307,                   0,             0.60044,             0.56691,             0.52901,             0.21112,            0.058417,             0.13801,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.029779,            0.054843,                   0,             0.55339,             0.53285,             0.49708,             0.19236,            0.060876,             0.14326,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.030645,             0.05696,                   0,             0.60776,             0.56551,             0.53314,             0.22003,            0.057778,             0.13708,                   0,            0.005149,            0.005149,            0.005149
                 100,             0.02836,            0.054638,                   0,             0.62479,             0.54015,             0.53793,             0.21548,            0.059224,             0.13827,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.029821,            0.052827,                   0,             0.63165,             0.52311,             0.52788,             0.21515,            0.059358,             0.14335,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.028826,            0.052423,                   0,             0.62474,             0.51849,             0.52664,             0.21837,            0.058167,             0.13998,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.029843,            0.051907,                   0,             0.59517,             0.52068,             0.51998,             0.20039,            0.060314,             0.14205,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.028685,            0.051805,                   0,             0.59566,             0.51614,             0.51307,             0.21291,            0.058319,             0.14343,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.028862,            0.054196,                   0,              0.6465,             0.50281,             0.52188,             0.21262,            0.058518,             0.14528,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.028809,            0.052921,                   0,             0.63644,             0.51539,             0.52337,             0.20483,            0.059286,             0.14278,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.028224,            0.053652,                   0,             0.60658,             0.50365,             0.50617,             0.20594,            0.058936,             0.14255,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.028049,            0.054622,                   0,              0.6716,             0.48905,             0.53312,             0.21317,             0.05827,             0.14511,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.029085,            0.049336,                   0,             0.63448,             0.52371,             0.52331,              0.2123,             0.05755,             0.14692,                   0,            0.004654,            0.004654,            0.004654
