gt all test,,,,od all test,,,,,,SS all test,,,,,,w_merge,,,,,,AUC MERGE,,,,
,cov_grid,cov_pix,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff
PA210086_gt,45.23324966,45.23324966,,PA210086_cov,7.330703735,7.330703735,-37.90254593,37.90254593,,PA210086_grey,67.56639481,67.56639481,22.33314515,22.33314515,,PA210086_cov,61.56606674,61.56606674,16.33281708,16.33281708,,PA210086_grey,64.24617767,64.24617767,19.01292801,19.01292801
PA210087_gt,64.25600052,64.25600052,,PA210087_cov,7.55815506,7.55815506,-56.69784546,56.69784546,,PA210087_grey,67.15259552,67.15259552,2.896595,2.896595,,PA210087_cov,61.99846268,61.99846268,-2.257537843,2.257537843,,PA210087_grey,62.45594025,62.45594025,-1.80006027,1.80006027
PA210131_gt,54.04510498,54.04510498,,PA210131_cov,10.15386581,10.15386581,-43.89123917,43.89123917,,PA210131_grey,54.36563492,54.36563492,0.32052994,0.32052994,,PA210131_cov,51.85270309,51.85270309,-2.192401886,2.192401886,,PA210131_grey,53.66039276,53.66039276,-0.38471222,0.38471222
PA210144_gt,24.7759819,24.7759819,,PA210144_cov,4.483699799,4.483699799,-20.2922821,20.2922821,,PA210144_grey,27.53133774,27.53133774,2.75535584,2.75535584,,PA210144_cov,25.24394989,25.24394989,0.46796799,0.46796799,,PA210144_grey,19.95534897,19.95534897,-4.82063293,4.82063293
PA210186_gt,78.76558304,78.76558304,,PA210186_cov,18.54791641,18.54791641,-60.21766663,60.21766663,,PA210186_grey,80.98049164,80.98049164,2.2149086,2.2149086,,PA210186_cov,76.8368721,76.8368721,-1.928710939,1.928710939,,PA210186_grey,79.70790863,79.70790863,0.94232559,0.94232559
PA210191_gt,79.03423309,79.03423309,,PA210191_cov,15.11678696,15.11678696,-63.91744613,63.91744613,,PA210191_grey,72.77555466,72.77555466,-6.25867843,6.25867843,,PA210191_cov,69.46802139,69.46802139,-9.566211697,9.566211697,,PA210191_grey,73.21147919,73.21147919,-5.8227539,5.8227539
PA210193_gt,68.33715439,68.33715439,,PA210193_cov,15.31772614,15.31772614,-53.01942825,53.01942825,,PA210193_grey,69.33507919,69.33507919,0.9979248,0.9979248,,PA210193_cov,66.12234116,66.12234116,-2.214813234,2.214813234,,PA210193_grey,69.03743744,69.03743744,0.70028305,0.70028305
PA210194_gt,49.71141815,49.71141815,,PA210194_cov,11.95306778,11.95306778,-37.75835037,37.75835037,,PA210194_grey,56.30884171,56.30884171,6.59742356,6.59742356,,PA210194_cov,51.58004761,51.58004761,1.868629457,1.868629457,,PA210194_grey,51.30977631,51.30977631,1.59835816,1.59835816
PA210272_gt,77.80046463,77.80046463,,PA210272_cov,11.62366867,11.62366867,-66.17679596,66.17679596,,PA210272_grey,64.15319443,64.15319443,-13.6472702,13.6472702,,PA210272_cov,58.46748352,58.46748352,-19.33298111,19.33298111,,PA210272_grey,61.51342392,61.51342392,-16.28704071,16.28704071
background_h_49_gt,0,0,,background_h_49_cov,0,0,0,0,,background_h_49_grey,0.742721558,0.742721558,0.742721558,0.742721558,,background_h_49_cov,0.564289093,0.564289093,0.564289093,0.564289093,,background_h_49_grey,0,0,0,0
background_h_55_gt,0,0,,background_h_55_cov,0,0,0,0,,background_h_55_grey,11.34538651,11.34538651,11.34538651,11.34538651,,background_h_55_cov,9.221172333,9.221172333,9.221172333,9.221172333,,background_h_55_grey,0,0,0,0
bckgrnd_30546_gt,0,0,,bckgrnd_30546_cov,0,0,0,0,,bckgrnd_30546_grey,5.614376068,5.614376068,5.614376068,5.614376068,,bckgrnd_30546_cov,4.159927368,4.159927368,4.159927368,4.159927368,,bckgrnd_30546_grey,0,0,0,0
bio_P9172058_gt,61.03134155,61.03134155,,bio_P9172058_cov,18.88275146,18.88275146,-42.14859009,42.14859009,,bio_P9172058_grey,56.68878555,56.68878555,-4.342556,4.342556,,bio_P9172058_cov,54.56933975,54.56933975,-6.462001798,6.462001798,,bio_P9172058_grey,57.29951859,57.29951859,-3.73182296,3.73182296
